,,, Experiment number: ,Unnamed: 1,#1767,Unnamed: 3
,,, Experiment date: ,,February-2-2018,
,,, Animal Strain: ,,,
,,, Animal Birthdate: ,,February-2-2018,
,,, Color of Animal: ,,Dark,
,,, Size of Animal: ,,Regular,
,,,Analysis Length:,,"23:51'38""",
,,,,,,
,,,Distance Traveled,=,257.51181,(meters)
,,,,,,
,,,,,,
 From Time ,  To Time  , Length(seconds) , Behavior ,Comment,,
"59'44""","59'45""",0.96,"RearUp(RUtoPR, RUfromPR, RemainRU)",,,
"59'45""","59'48""",2.88,"HangVertically(HVfromRU, RemainHV)",,,
"59'48""","59'48""",0.72,"ComeDown(CDtoPR, CDfromPR)",,,
"59'48""","59'49""",0.36,Rear up Partially,,,
"59'49""","59'49""",0.48,Remain Partially Reared,,,
"59'49""","59'50""",0.24,Rear up Full From Partial,,,
"59'50""","59'50""",0.12,Sniff,,,
"59'50""","59'50""",0.56,Jump,,,
"59'50""","59'51""",0.52,Sniff,,,
"59'51""","59'51""",0.48,Stretch Body,,,
"59'51""","59'52""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"59'52""","59'53""",1.20,"RearUp(RUtoPR, RUfromPR, RemainRU)",,,
"59'53""","59'54""",0.72,"HangVertically(HVfromRU, RemainHV)",,,
"59'54""","59'56""",2.16,"HangCuddled(HangCudl, RemainHC)",,,
"59'56""","59'56""",0.36,HangVertically From HangCuddled,,,
"59'56""","59'57""",0.36,Come Down From Partially Reared,,,
"59'57""","59'57""",0.24,Walk Left,,,
"59'58""","59'59""",0.44,Forage,,,
"1:00'00""","1:00'00""",0.24,Come Down From Partially Reared,,,
"1:00'01""","1:00'01""",0.48,"RearUp(RUtoPR, RUfromPR)",,,
"1:00'01""","1:00'03""",2.04,Sniff,,,
"1:00'03""","1:00'04""",0.48,"HangVertically(HVfromRU, RemainHV)",,,
"1:00'04""","1:00'13""",9.12,"HangCuddled(HangCudl, RemainHC)",,,
"1:00'13""","1:00'13""",0.24,HangVertically From HangCuddled,,,
"1:00'13""","1:00'13""",0.48,Come Down,,,
"1:00'14""","1:00'14""",0.24,Rear Up,,,
"1:00'14""","1:00'14""",0.48,Sniff,,,
"1:00'14""","1:00'15""",0.40,Remain RearUp,,,
"1:00'15""","1:00'15""",0.44,Come Down From Partially Reared,,,
"1:00'15""","1:00'17""",1.32,"RearUp(RearUp, RemainRU)",,,
"1:00'17""","1:00'17""",0.48,Sniff,,,
"1:00'17""","1:00'18""",0.48,Remain RearUp,,,
"1:00'18""","1:00'18""",0.24,Hang Vertically From Rear Up,,,
"1:00'18""","1:00'18""",0.24,Land Vertically,,,
"1:00'18""","1:00'18""",0.24,Hang Vertically From Rear Up,,,
"1:00'18""","1:00'18""",0.24,Land Vertically,,,
"1:00'18""","1:00'19""",0.24,Sniff,,,
"1:00'19""","1:00'19""",0.72,"HangVertically(HVfromRU, RemainHV)",,,
"1:00'19""","1:00'26""",6.48,"HangCuddled(HangCudl, RemainHC)",,,
"1:00'26""","1:00'26""",0.24,HangVertically From HangCuddled,,,
"1:00'26""","1:00'33""",7.32,"HangCuddled(HangCudl, RemainHC, HangCudl, RemainHC)",,,
"1:00'33""","1:00'34""",0.52,Walk Slowly,,,
"1:00'34""","1:00'35""",0.24,Rear up Partially,,,
"1:00'35""","1:00'35""",0.36,Remain Partially Reared,,,
"1:00'35""","1:00'35""",0.24,Come Down From Partially Reared,,,
"1:00'36""","1:00'36""",0.08,Jump,,,
"1:00'36""","1:00'36""",0.48,Remain Hang Vertically,,,
"1:00'36""","1:00'37""",0.24,Hang Cuddled,,,
"1:00'37""","1:00'38""",0.96,"HangVertically(HVfromHC, RemainHV)",,,
"1:00'38""","1:00'38""",0.48,Come Down To Partially Reared,,,
"1:00'38""","1:00'39""",0.96,Walk Left,,,
"1:00'42""","1:00'42""",0.20,Dig,,,
"1:00'42""","1:00'42""",0.28,Forage,,,
"1:00'42""","1:00'46""",4.28,Groom,,PLF,
"1:00'46""","1:00'47""",0.32,Forage,,,
"1:00'47""","1:00'47""",0.40,Remain Partially Reared,,,
"1:00'47""","1:00'47""",0.24,Rear up Full From Partial,,,
"1:00'47""","1:00'49""",1.68,Sniff,,,
"1:00'49""","1:00'49""",0.24,Come Down To Partially Reared,,,
"1:00'49""","1:00'49""",0.24,Rear up Full From Partial,,,
"1:00'49""","1:00'51""",1.44,Sniff,,,
"1:00'51""","1:00'51""",0.24,Come Down To Partially Reared,,,
"1:00'51""","1:00'51""",0.24,Sniff,,,
"1:00'51""","1:00'52""",0.24,Walk Slowly,,,
"1:00'52""","1:00'52""",0.20,Walk Left,,,
"1:00'52""","1:00'52""",0.16,Dig,,,
"1:00'52""","1:00'52""",0.28,Walk Left,,,
"1:00'53""","1:00'53""",0.24,Walk Slowly,,,
"1:00'53""","1:00'54""",0.72,Remain RearUp,,,
"1:00'54""","1:00'54""",0.48,Stretch Body,,,
"1:00'54""","1:00'55""",0.24,Remain RearUp,,,
"1:00'55""","1:00'55""",0.24,Come Down,,,
"1:00'55""","1:00'55""",0.48,"RearUp(RUtoPR, RUfromPR)",,,
"1:00'55""","1:00'56""",0.96,Sniff,,,
"1:00'56""","1:00'57""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"1:00'57""","1:01'30""",33.60,Eat Zone1,,,
"1:01'30""","1:01'40""",9.36,Chew,,,
"1:01'40""","1:01'44""",3.84,Eat Zone1,,,
"1:01'44""","1:01'50""",6.48,Chew,,,
"1:01'50""","1:01'53""",2.64,Eat Zone1,,,
"1:01'53""","1:01'53""",0.24,Chew,,,
"1:01'53""","1:01'59""",5.52,Eat Zone1,,>B_L,
"1:01'59""","1:01'59""",0.24,Chew,,,
"1:01'59""","1:02'22""",23.28,Eat Zone1,,,
"1:02'22""","1:02'26""",3.60,Chew,,,
"1:02'26""","1:02'27""",1.20,Eat Zone1,,,
"1:02'27""","1:02'27""",0.24,Chew,,,
"1:02'27""","1:02'31""",3.60,Eat Zone1,,,
"1:02'31""","1:02'40""",9.04,Groom,,PLF,
"1:02'40""","1:02'43""",3.16,Eat Zone1,,,
"1:02'43""","1:02'43""",0.24,Come Down From Partially Reared,,,
"1:02'43""","1:02'43""",0.24,Walk Right,,,
"1:02'44""","1:02'44""",0.08,Forage,,,
"1:02'44""","1:02'44""",0.28,Forage,,,
"1:02'44""","1:02'45""",0.40,Dig,,,
"1:02'45""","1:02'45""",0.36,Forage,,,
"1:02'46""","1:02'46""",0.44,Forage,,,
"1:02'46""","1:02'46""",0.16,Forage,,,
"1:02'47""","1:02'47""",0.36,Forage,,,
"1:02'48""","1:02'48""",0.24,Forage,,,
"1:02'48""","1:02'48""",0.24,Dig,,,
"1:02'48""","1:02'48""",0.08,Forage,,,
"1:02'48""","1:02'48""",0.16,Forage,,,
"1:02'48""","1:02'49""",0.24,Dig,,,
"1:02'49""","1:02'49""",0.36,Forage,,,
"1:02'53""","1:02'54""",0.28,Forage,,,
"1:02'54""","1:02'54""",0.28,Come Down From Partially Reared,,,
"1:02'54""","1:03'01""",6.76,Groom,,B_L,
"1:03'03""","1:03'15""",12.12,Groom,,PLR<-HdW,
"1:03'16""","1:03'21""",4.96,Groom,,PLF<-HdW,
"1:03'21""","1:03'22""",0.76,Remain Partially Reared,,,
"1:03'22""","1:03'22""",0.24,Come Down From Partially Reared,,,
"1:03'23""","1:03'28""",5.56,Groom,,PLF<-HdW,
"1:03'34""","1:03'38""",3.80,Groom,,PLF,
"1:03'40""","1:03'40""",0.24,Forage,,,
"1:03'40""","1:03'40""",0.16,Dig,,face-front/back,
"1:03'40""","1:03'40""",0.40,Walk Right,,,
"1:03'40""","1:03'41""",0.24,Rear up Partially,,,
"1:03'41""","1:03'41""",0.24,Remain Partially Reared,,,
"1:03'41""","1:03'41""",0.24,Come Down From Partially Reared,,,
"1:03'41""","1:03'42""",0.48,Walk Right,,,
"1:03'42""","1:03'43""",0.32,Forage,,,
"1:03'43""","1:03'43""",0.28,Rear up Partially,,,
"1:03'43""","1:03'43""",0.24,Sniff,,,
"1:03'43""","1:03'43""",0.24,Come Down From Partially Reared,,,
"1:03'44""","1:03'44""",0.08,Forage,,,
"1:03'44""","1:03'44""",0.28,Dig,,,
"1:03'45""","1:03'49""",3.68,Groom,,PLR,
"1:03'49""","1:03'49""",0.64,Forage,,,
"1:03'49""","1:03'49""",0.16,Dig,,,
"1:03'50""","1:03'56""",6.08,Groom,,B_L,
"1:03'56""","1:03'57""",1.00,Remain Partially Reared,,,
"1:03'57""","1:03'58""",0.24,Come Down From Partially Reared,,,
"1:03'58""","1:03'58""",0.24,Rear up Partially,,,
"1:03'58""","1:04'00""",1.92,Sniff,,,
"1:04'00""","1:04'02""",2.16,Drink Spout1,,,
"1:04'02""","1:04'03""",0.48,Sniff,,,
"1:04'03""","1:04'03""",0.48,Drink Spout1,,,
"1:04'03""","1:04'08""",4.80,Sniff,,,
"1:04'08""","1:04'08""",0.48,Come Down From Partially Reared,,,
"1:04'08""","1:04'09""",0.72,Sniff,,,
"1:04'09""","1:04'10""",0.48,Remain Partially Reared,,,
"1:04'10""","1:04'10""",0.24,Rear up Full From Partial,,,
"1:04'10""","1:04'11""",1.68,Sniff,,,
"1:04'11""","1:04'12""",0.24,Come Down To Partially Reared,,,
"1:04'12""","1:04'12""",0.24,Remain Partially Reared,,,
"1:04'12""","1:04'12""",0.24,Come Down From Partially Reared,,,
"1:04'12""","1:04'13""",0.24,Forage,,,
"1:04'13""","1:04'13""",0.24,Rear up Partially,,,
"1:04'13""","1:04'13""",0.24,Come Down From Partially Reared,,,
"1:04'14""","1:04'14""",0.24,Walk Slowly,,,
"1:04'14""","1:04'15""",0.60,Walk Left,,,
"1:04'16""","1:04'16""",0.16,Forage,,,
"1:04'16""","1:04'16""",0.16,Dig,,,
"1:04'17""","1:04'17""",0.12,Forage,,,
"1:04'17""","1:04'18""",0.24,Dig,,,
"1:04'19""","1:04'19""",0.08,Forage,,,
"1:04'19""","1:04'19""",0.24,Dig,,,
"1:04'20""","1:04'20""",0.24,Walk Slowly,,,
"1:04'20""","1:04'20""",0.16,Forage,,,
"1:04'21""","1:04'21""",0.16,Walk Slowly,,,
"1:04'21""","1:04'21""",0.16,Forage,,,
"1:04'21""","1:04'21""",0.28,Walk Right,,,
"1:04'21""","1:04'21""",0.24,Rear up Partially,,,
"1:04'21""","1:04'22""",0.24,Sniff,,,
"1:04'22""","1:04'22""",0.16,Dig,,,
"1:04'22""","1:04'23""",0.32,Dig,,,
"1:04'23""","1:04'23""",0.16,Forage,,,
"1:04'23""","1:04'23""",0.24,Dig,,,
"1:04'23""","1:04'24""",1.24,"RearUp(RUtoPR, RUfromPR, RemainRU)",,,
"1:04'24""","1:04'25""",0.48,Come Down,,,
"1:04'26""","1:04'28""",2.60,Sniff,,,
"1:04'28""","1:04'28""",0.20,Come Down From Partially Reared,,,
"1:04'28""","1:04'35""",6.64,Groom,,B_L<-HdW,
"1:04'35""","1:04'35""",0.28,Come Down From Partially Reared,,,
"1:04'35""","1:04'41""",5.12,Groom,,PLF,
"1:04'42""","1:04'42""",0.24,Rear up Partially,,,
"1:04'42""","1:04'43""",0.48,Sniff,,,
"1:04'43""","1:04'43""",0.48,Drink Spout1,,,
"1:04'43""","1:04'44""",0.24,Sniff,,,
"1:04'44""","1:04'44""",0.24,Rear up Full From Partial,,,
"1:04'44""","1:04'44""",0.24,Come Down To Partially Reared,,,
"1:04'44""","1:04'44""",0.24,Sniff,,,
"1:04'44""","1:04'45""",0.24,Remain Partially Reared,,,
"1:04'45""","1:04'45""",0.24,Rear up Full From Partial,,,
"1:04'45""","1:04'46""",0.72,Sniff,,,
"1:04'46""","1:04'46""",0.24,Come Down To Partially Reared,,,
"1:04'46""","1:04'47""",0.72,Remain Partially Reared,,,
"1:04'47""","1:04'47""",0.48,Walk Slowly,,,
"1:04'47""","1:04'47""",0.16,Come Down From Partially Reared,,,
"1:04'47""","1:04'47""",0.20,Dig,,,
"1:04'47""","1:04'48""",0.28,Rear up Partially,,,
"1:04'48""","1:04'48""",0.24,Come Down From Partially Reared,,,
"1:04'48""","1:04'48""",0.24,Sniff,,,
"1:04'48""","1:04'48""",0.24,Come Down From Partially Reared,,,
"1:04'48""","1:04'49""",0.72,Walk Left,,,
"1:04'49""","1:04'50""",0.40,Walk Slowly,,,
"1:04'51""","1:04'51""",0.48,Walk Left,,,
"1:04'51""","1:04'51""",0.24,Rear up Partially,,,
"1:04'51""","1:04'52""",0.24,Remain Partially Reared,,,
"1:04'52""","1:04'52""",0.24,Come Down From Partially Reared,,,
"1:04'52""","1:04'52""",0.24,Walk Slowly,,,
"1:04'52""","1:04'52""",0.12,Rear Up,,,
"1:04'52""","1:04'53""",0.52,Jump,,,
"1:04'53""","1:04'53""",0.24,Jump,,,
"1:04'53""","1:04'54""",0.28,Come Down From Partially Reared,,,
"1:04'54""","1:04'54""",0.24,Walk Right,,,
"1:04'54""","1:04'55""",0.24,Walk Slowly,,,
"1:04'57""","1:04'59""",1.40,Sniff,,,
"1:04'59""","1:04'59""",0.16,Dig,,,
"1:04'59""","1:04'59""",0.20,Forage,,,
"1:04'59""","1:05'00""",0.28,Come Down From Partially Reared,,,
"1:05'00""","1:05'01""",0.36,Rear up Partially,,,
"1:05'01""","1:05'01""",0.48,Sniff,,,
"1:05'01""","1:05'01""",0.24,Come Down From Partially Reared,,,
"1:05'01""","1:05'02""",0.24,Rear up Partially,,,
"1:05'02""","1:05'03""",0.96,Drink Spout1,,,
"1:05'03""","1:05'03""",0.24,Rear up Partially,,,
"1:05'03""","1:05'03""",0.24,Come Down From Partially Reared,,,
"1:05'03""","1:05'03""",0.24,Remain Partially Reared,,,
"1:05'03""","1:05'04""",0.24,Come Down From Partially Reared,,,
"1:05'04""","1:05'04""",0.24,Rear up Partially,,,
"1:05'04""","1:05'05""",0.96,Remain Partially Reared,,,
"1:05'05""","1:05'05""",0.24,Come Down From Partially Reared,,,
"1:05'05""","1:05'06""",0.24,Rear Up,,,
"1:05'06""","1:05'06""",0.36,Sniff,,,
"1:05'07""","1:05'07""",0.24,Remain Hang Vertically,,,
"1:05'07""","1:05'08""",1.44,"HangCuddled(HangCudl, RemainHC)",,,
"1:05'08""","1:05'09""",0.72,"HangVertically(HVfromHC, RemainHV)",,,
"1:05'09""","1:05'09""",0.24,Hang Cuddled,,,
"1:05'09""","1:05'10""",0.24,HangVertically From HangCuddled,,,
"1:05'10""","1:05'10""",0.24,Hang Cuddled,,,
"1:05'10""","1:05'10""",0.36,HangVertically From HangCuddled,,,
"1:05'10""","1:05'13""",2.40,"HangCuddled(HangCudl, RemainHC)",,,
"1:05'13""","1:05'13""",0.48,HangVertically From HangCuddled,,,
"1:05'13""","1:05'14""",0.48,Land Vertically,,,
"1:05'14""","1:05'14""",0.24,Sniff,,,
"1:05'14""","1:05'14""",0.24,Remain RearUp,,,
"1:05'14""","1:05'14""",0.24,Come Down,,,
"1:05'14""","1:05'15""",0.24,Walk Left,,,
"1:05'15""","1:05'15""",0.24,Walk Slowly,,,
"1:05'15""","1:05'15""",0.24,Rear up Partially,,,
"1:05'15""","1:05'15""",0.24,Remain Partially Reared,,,
"1:05'15""","1:05'17""",1.92,Eat Zone1,,,
"1:05'17""","1:05'18""",0.40,Come Down From Partially Reared,,,
"1:05'19""","1:05'19""",0.36,Forage,,,
"1:05'19""","1:05'19""",0.52,Walk Right,,,
"1:05'19""","1:05'20""",0.24,Rear up Partially,,,
"1:05'20""","1:05'23""",2.88,Sniff,,,
"1:05'23""","1:05'23""",0.24,Rear up Full From Partial,,,
"1:05'23""","1:05'27""",4.08,Sniff,,,
"1:05'27""","1:05'27""",0.24,Remain RearUp,,,
"1:05'27""","1:05'27""",0.24,Come Down To Partially Reared,,,
"1:05'27""","1:05'29""",1.92,Sniff,,,
"1:05'29""","1:05'29""",0.24,Walk Slowly,,,
"1:05'29""","1:05'30""",0.40,Come Down From Partially Reared,,,
"1:05'31""","1:05'31""",0.24,Rear up Partially,,,
"1:05'31""","1:05'31""",0.24,Remain Partially Reared,,,
"1:05'31""","1:05'31""",0.24,Come Down From Partially Reared,,,
"1:05'31""","1:05'32""",0.24,Remain Partially Reared,,,
"1:05'32""","1:05'32""",0.24,Forage,,,
"1:05'32""","1:05'33""",0.24,Rear up Partially,,,
"1:05'33""","1:05'33""",0.48,Sniff,,,
"1:05'33""","1:05'35""",1.92,Drink Spout1,,,
"1:05'35""","1:05'35""",0.24,Sniff,,,
"1:05'35""","1:05'36""",0.48,Drink Spout1,,,
"1:05'36""","1:05'36""",0.32,Sniff,,,
"1:05'36""","1:05'40""",4.24,Groom,,B_L,
"1:05'40""","1:05'41""",1.00,Sniff,,,
"1:05'41""","1:05'42""",0.48,"HangVertically(HVfromRU, RemainHV)",,,
"1:05'42""","1:05'43""",0.88,"ComeDown(CDtoPR, CDfromPR)",,,
"1:05'43""","1:05'43""",0.36,Forage,,,
"1:05'43""","1:05'43""",0.28,Walk Left,,,
"1:05'44""","1:05'44""",0.24,Walk Right,,,
"1:05'44""","1:05'44""",0.24,Walk Slowly,,,
"1:05'45""","1:05'45""",0.48,Walk Right,,,
"1:05'45""","1:05'46""",1.20,"RearUp(RUtoPR, RUfromPR, RemainRU)",,,
"1:05'46""","1:05'52""",5.04,"HangCuddled(HangCudl, RemainHC)",,,
"1:05'52""","1:05'52""",0.24,HangVertically From HangCuddled,,,
"1:05'52""","1:05'52""",0.48,Come Down To Partially Reared,,,
"1:05'52""","1:05'53""",1.20,Sniff,,,
"1:05'53""","1:05'54""",0.48,Drink Spout1,,,
"1:05'54""","1:05'55""",1.20,Sniff,,,
"1:05'55""","1:05'55""",0.24,Remain RearUp,,,
"1:05'55""","1:05'57""",1.44,"HangVertically(HVfromRU, RemainHV)",,,
"1:05'57""","1:06'10""",13.32,"HangCuddled(HangCudl, RemainHC, HangCudl, RemainHC, HangCudl, RemainHC)",,,
"1:06'10""","1:06'10""",0.36,Walk Slowly,,,
"1:06'13""","1:06'13""",0.36,Rear up Partially,,,
"1:06'13""","1:06'14""",0.24,Forage,,,
"1:06'15""","1:06'19""",3.24,Groom,,PLF,
"1:06'19""","1:06'19""",0.28,Walk Left,,,
"1:06'19""","1:06'20""",0.56,Forage,,,
"1:06'20""","1:06'20""",0.40,Forage,,,
"1:06'24""","1:06'24""",0.72,Forage,,,
"1:06'25""","1:06'25""",0.16,Forage,,,
"1:06'27""","1:06'28""",0.40,Forage,,,
"1:06'28""","1:06'28""",0.48,Dig,,,
"1:06'28""","1:06'28""",0.08,Forage,,,
"1:06'28""","1:06'29""",0.16,Dig,,,
"1:06'31""","1:06'40""",9.00,Groom,,PLR<-PLF,
"1:06'40""","1:06'41""",0.48,Dig,,,
"1:06'42""","1:06'43""",0.36,Walk Left,,,
"1:06'44""","1:06'44""",0.24,Forage,,,
"1:06'44""","1:06'44""",0.28,Rear up Partially,,,
"1:06'44""","1:06'45""",0.24,Come Down From Partially Reared,,,
"1:06'47""","1:06'47""",0.24,Walk Slowly,,,
"1:06'48""","1:06'49""",0.20,Walk Slowly,,,
"1:06'49""","1:06'49""",0.16,Forage,,,
"1:06'49""","1:06'49""",0.28,Walk Slowly,,,
"1:06'51""","1:06'51""",0.24,Walk Right,,,
"1:06'51""","1:07'01""",9.72,Groom,,PLF,
"1:07'01""","1:07'01""",0.16,Forage,,,
"1:07'01""","1:07'02""",0.24,Walk Right,,,
"1:07'02""","1:07'02""",0.36,Forage,,,
"1:07'02""","1:07'02""",0.28,Remain Partially Reared,,,
"1:07'02""","1:07'02""",0.24,Come Down From Partially Reared,,,
"1:07'03""","1:07'03""",0.20,Forage,,,
"1:07'03""","1:07'04""",0.68,Forage,,,
"1:07'04""","1:07'04""",0.24,Dig,,,
"1:07'05""","1:07'05""",0.24,Rear up Partially,,,
"1:07'05""","1:07'06""",1.08,"ComeDown(CDfromPR, CDfromPR)",,,
"1:07'07""","1:07'07""",0.32,Dig,,,
"1:07'07""","1:07'12""",4.80,Groom,,HdW,
"1:07'12""","1:07'13""",0.52,Dig,,,
"1:07'13""","1:07'14""",0.64,Forage,,,
"1:07'14""","1:07'14""",0.28,Rear up Partially,,,
"1:07'14""","1:07'15""",0.36,Remain Partially Reared,,,
"1:07'15""","1:07'15""",0.16,Forage,,,
"1:07'15""","1:07'15""",0.24,Forage,,,
"1:07'15""","1:07'15""",0.16,Dig,,,
"1:07'17""","1:07'18""",0.92,Remain Partially Reared,,,
"1:07'18""","1:07'18""",0.24,Come Down From Partially Reared,,,
"1:07'18""","1:07'18""",0.16,Dig,,,
"1:07'18""","1:07'31""",12.36,Groom,,B_L<-HdW(Night),
"1:07'31""","1:07'31""",0.16,Forage,,,
"1:07'32""","1:07'32""",0.24,Walk Left,,,
"1:07'35""","1:07'35""",0.24,Walk Slowly,,,
"1:07'35""","1:07'35""",0.48,Walk Left,,,
"1:07'35""","1:07'36""",0.24,Forage,,,
"1:07'37""","1:07'38""",0.40,Forage,,,
"1:07'40""","1:07'40""",0.24,Walk Slowly,,,
"1:07'41""","1:07'42""",0.36,Walk Slowly,,,
"1:07'42""","1:07'42""",0.72,Walk Right,,,
"1:07'43""","1:07'43""",0.08,Forage,,,
"1:07'43""","1:07'43""",0.20,Forage,,,
"1:07'43""","1:07'43""",0.16,Dig,,,
"1:07'43""","1:07'44""",0.28,Walk Right,,,
"1:07'44""","1:07'44""",0.16,Forage,,,
"1:07'44""","1:07'44""",0.28,Walk Right,,,
"1:07'44""","1:07'44""",0.24,Rear up Partially,,,
"1:07'44""","1:07'45""",0.24,Sniff,,,
"1:07'45""","1:07'45""",0.24,Come Down From Partially Reared,,,
"1:07'46""","1:07'46""",0.36,Rear up Partially,,,
"1:07'46""","1:07'46""",0.36,Come Down From Partially Reared,,,
"1:07'47""","1:07'47""",0.08,Forage,,,
"1:07'47""","1:07'48""",0.24,Dig,,,
"1:07'51""","1:07'51""",0.16,Forage,,,
"1:07'51""","1:07'51""",0.24,Forage,,,
"1:07'51""","1:07'52""",0.28,Walk Slowly,,,
"1:07'52""","1:07'53""",0.68,Walk Left,,,
"1:07'53""","1:07'53""",0.16,Forage,,,
"1:07'54""","1:07'58""",4.48,Groom,,HdW,
"1:07'58""","1:07'58""",0.28,Rear up Partially,,,
"1:07'58""","1:07'59""",0.24,Come Down From Partially Reared,,,
"1:08'00""","1:08'00""",0.16,Forage,,,
"1:08'00""","1:08'00""",0.24,Dig,,,
"1:08'01""","1:08'01""",0.16,Dig,,,
"1:08'01""","1:08'02""",0.92,Remain Partially Reared,,,
"1:08'02""","1:08'20""",18.56,Groom,,PLF<-HdW(Night),
"1:08'20""","1:08'21""",0.24,Dig,,,
"1:08'23""","1:08'24""",0.32,Forage,,,
"1:08'24""","1:08'24""",0.36,Dig,,,
"1:08'24""","1:08'25""",0.20,Dig,,,
"1:08'25""","1:08'25""",0.32,Forage,,,
"1:08'25""","1:08'26""",0.32,Forage,,,
"1:08'26""","1:08'26""",0.16,Forage,,,
"1:08'26""","1:08'26""",0.16,Dig,,,
"1:08'26""","1:08'28""",1.60,Sniff,,,
"1:08'28""","1:08'28""",0.24,Come Down From Partially Reared,,,
"1:08'28""","1:08'28""",0.24,Rear up Partially,,,
"1:08'28""","1:08'29""",1.20,Remain Partially Reared,,,
"1:08'29""","1:08'30""",0.24,Come Down From Partially Reared,,,
"1:08'30""","1:08'34""",3.52,Groom,,PLF,
"1:08'34""","1:08'34""",0.28,Rear up Partially,,,
"1:08'34""","1:08'35""",1.64,Sniff,,,
"1:08'35""","1:08'41""",5.52,Groom,,HdW,
"1:08'41""","1:08'41""",0.28,Sniff,,,
"1:08'41""","1:08'44""",2.92,Remain Partially Reared,,,
"1:08'44""","1:09'11""",26.96,Groom,,B_L<-PLR<-PLF<-HdW(Night),
"1:09'11""","1:09'12""",0.24,Forage,,,
"1:09'12""","1:09'12""",0.16,Dig,,,
"1:09'13""","1:09'24""",11.24,Groom,,PLF(Night),
"1:09'24""","1:09'25""",0.44,Dig,,,
"1:09'25""","1:09'26""",1.20,Eat Zone1,,,
"1:09'26""","1:09'27""",0.32,Walk Left,,,
"1:09'27""","1:09'27""",0.20,Forage,,,
"1:09'27""","1:09'27""",0.24,Forage,,,
"1:09'27""","1:09'27""",0.28,Dig,,,
"1:09'27""","1:09'28""",0.12,Forage,,,
"1:09'28""","1:09'28""",0.16,Dig,,,
"1:09'28""","1:09'28""",0.28,Rear up Partially,,,
"1:09'29""","1:09'29""",0.48,Jump,,,
"1:09'29""","1:09'30""",0.28,Come Down From Partially Reared,,,
"1:09'30""","1:09'30""",0.60,"RearUp(RUtoPR, RUfromPR)",,,
"1:09'30""","1:09'31""",0.52,Jump,,,
"1:09'31""","1:09'31""",0.28,Come Down,,,
"1:09'32""","1:09'33""",0.16,Dig,,,
"1:09'33""","1:09'33""",0.28,Walk Slowly,,,
"1:09'33""","1:09'34""",0.60,Walk Right,,,
"1:09'36""","1:09'46""",9.88,Groom,,PLF,
"1:09'47""","1:09'47""",0.92,Forage,,,
"1:09'48""","1:09'48""",0.40,Forage,,,
"1:09'48""","1:09'48""",0.16,Forage,,,
"1:09'49""","1:09'49""",0.80,Forage,,,
"1:09'49""","1:09'50""",0.36,Dig,,,
"1:09'50""","1:09'50""",0.08,Forage,,,
"1:09'50""","1:09'50""",0.16,Dig,,,
"1:09'50""","1:09'51""",0.36,Dig,,,
"1:09'51""","1:09'51""",0.28,Stretch Body,,,
"1:09'51""","1:09'56""",4.40,Groom,,PLF,
"1:09'56""","1:09'56""",0.32,Dig,,,
"1:09'56""","1:10'03""",6.92,Groom,,PLF<-HdW,
"1:10'04""","1:10'10""",6.48,Groom,,B_L<-PLF,
"1:10'12""","1:10'12""",0.24,Forage,,,
"1:10'12""","1:10'12""",0.20,Dig,,,
"1:10'12""","1:10'12""",0.36,Forage,,,
"1:10'13""","1:10'13""",0.36,Forage,,,
"1:10'13""","1:10'13""",0.20,Dig,,,
"1:10'17""","1:10'17""",0.08,Forage,,,
"1:10'17""","1:10'17""",0.08,Forage,,,
"1:10'17""","1:10'17""",0.44,Dig,,,
"1:10'17""","1:10'18""",0.28,Come Down From Partially Reared,,,
"1:10'18""","1:10'18""",0.24,Rear up Partially,,,
"1:10'18""","1:10'18""",0.52,Come Down From Partially Reared,,,
"1:10'19""","1:10'19""",0.20,Dig,,,
"1:10'19""","1:10'19""",0.28,Come Down From Partially Reared,,,
"1:10'19""","1:10'20""",0.36,Stretch Body,,,
"1:10'20""","1:10'20""",0.36,Walk Left,,,
"1:10'20""","1:10'20""",0.20,Forage,,,
"1:10'20""","1:10'21""",0.28,Walk Slowly,,,
"1:10'21""","1:10'25""",4.32,Groom,,HdW,
"1:10'25""","1:10'25""",0.28,Dig,,,
"1:10'26""","1:10'26""",0.36,Dig,,face-front/back,
"1:10'29""","1:10'29""",0.28,Dig,,,
"1:10'30""","1:10'50""",20.36,Groom,,,
"1:10'50""","1:10'50""",0.16,Dig,,face-front/back,
"1:10'50""","1:10'51""",0.32,Forage,,,
"1:10'51""","1:10'51""",0.24,Dig,,,
"1:10'52""","1:10'54""",2.96,Groom,,PLF,
"1:10'55""","1:10'55""",0.24,Forage,,face-front/back,
"1:10'55""","1:10'55""",0.08,Forage,,,
"1:10'55""","1:10'55""",0.24,Dig,,face-front/back,
"1:10'55""","1:10'56""",0.08,Forage,,,
"1:10'56""","1:10'56""",0.16,Forage,,,
"1:10'56""","1:10'56""",0.16,Dig,,,
"1:11'00""","1:11'00""",0.16,Forage,,,
"1:11'10""","1:11'15""",4.68,Groom,,PLR<-HdW,
"1:11'15""","1:11'21""",6.04,Sniff,,face-right,
"1:11'21""","1:11'21""",0.48,Remain Partially Reared,,,
"1:11'21""","1:11'22""",0.24,Come Down From Partially Reared,,,
