,,, Experiment number: ,Unnamed: 1,#1767,Unnamed: 3
,,, Experiment date: ,,February-2-2018,
,,, Animal Strain: ,,,
,,, Animal Birthdate: ,,February-2-2018,
,,, Color of Animal: ,,Dark,
,,, Size of Animal: ,,Regular,
,,,Analysis Length:,,"23:51'38""",
,,,,,,
,,,Distance Traveled,=,257.51181,(meters)
,,,,,,
,,,,,,
 From Time ,  To Time  , Length(seconds) , Behavior ,Comment,,
"3'56""","4'01""",5.36,Groom,,PLF<-HdW,
"4'02""","4'02""",0.36,Rear up Partially,,,
"4'02""","4'09""",6.48,Eat Zone1,,,
"4'09""","4'09""",0.48,Come Down From Partially Reared,,,
"4'10""","4'10""",0.16,Forage,,,
"4'10""","4'10""",0.16,Dig,,,
"4'10""","4'10""",0.28,Forage,,,
"4'10""","4'11""",0.24,Walk Right,,,
"4'11""","4'11""",0.16,Dig,,,
"4'11""","4'11""",0.28,Rear up Full From Partial,,,
"4'11""","4'11""",0.20,Come Down,,,
"4'11""","4'11""",0.16,Dig,,,
"4'12""","4'12""",0.36,Walk Right,,,
"4'12""","4'14""",1.92,Sniff,,,
"4'14""","4'15""",0.24,Rear up Full From Partial,,,
"4'15""","4'15""",0.24,Sniff,,,
"4'15""","4'16""",1.20,Stretch Body,,,
"4'16""","4'17""",0.72,Sniff,,,
"4'17""","4'17""",0.24,Come Down To Partially Reared,,,
"4'17""","4'17""",0.24,Remain Partially Reared,,,
"4'17""","4'18""",0.48,Drink Spout1,,,
"4'18""","4'19""",1.32,Sniff,,,
"4'19""","4'19""",0.24,Come Down From Partially Reared,,,
"4'19""","4'19""",0.24,Rear up Partially,,,
"4'19""","4'22""",2.16,Remain Partially Reared,,,
"4'22""","4'22""",0.24,Come Down From Partially Reared,,,
"4'22""","4'22""",0.24,Rear up Partially,,,
"4'22""","4'23""",0.48,Sniff,,,
"4'23""","4'23""",0.48,Drink Spout1,,,
"4'23""","4'25""",1.44,Sniff,,,
"4'25""","4'27""",2.72,No Data,,,
"4'27""","4'28""",0.40,Jump,,,
"4'28""","4'31""",3.28,No Data,,,
"4'31""","4'44""",12.44,No Data,,,
"4'44""","4'45""",0.72,"RearUp(RUtoPR, RUfromPR, RemainRU)",,,
"4'45""","4'46""",1.56,"HangVertically(HVfromRU, RemainHV)",,,
"4'46""","4'46""",0.24,Land Vertically,,,
"4'46""","4'47""",0.48,Sniff,,,
"4'47""","4'47""",0.48,"HangVertically(HVfromRU, RemainHV)",,,
"4'47""","4'48""",0.48,Come Down To Partially Reared,,,
"4'48""","4'48""",0.48,Remain Partially Reared,,,
"4'48""","4'49""",0.48,Come Down From Partially Reared,,,
"4'50""","4'50""",0.16,Forage,,,
"4'50""","4'50""",0.72,Come Down From Partially Reared,,,
"4'50""","4'59""",9.08,Groom,,PLR<-PLF,
"5'00""","5'05""",5.04,Pause,,,
"5'06""","5'30""",24.16,Pause,,,
"5'30""","5'30""",0.24,Rear up Partially,,,
"5'30""","5'30""",0.24,Come Down From Partially Reared,,,
"5'30""","5'30""",0.24,Rear up Partially,,,
"5'30""","5'31""",0.24,Remain Partially Reared,,,
"5'31""","5'31""",0.48,"RearUp(RUfromPR, RemainRU)",,,
"5'31""","5'32""",0.32,"ComeDown(CDtoPR, CDfromPR)",,,
"5'32""","5'42""",10.16,Groom,,PLR<-PLF<-HdW,
"5'47""","5'47""",0.36,Rear up Partially,,,
"5'47""","5'48""",1.20,Sniff,,,
"5'48""","5'48""",0.24,Come Down From Partially Reared,,,
"5'48""","5'48""",0.16,Rear up Partially,,,
"5'48""","5'52""",3.52,Groom,,HdW,
"5'52""","5'52""",0.28,Come Down To Partially Reared,,,
"5'52""","5'53""",0.36,Sniff,,,
"5'53""","5'53""",0.24,Remain Partially Reared,,face-front/back,
"5'53""","5'53""",0.28,Dig,,,
"5'53""","5'54""",0.28,Dig,,,
"5'56""","6'29""",33.20,Sleep,,face-right,
"6'29""","6'38""",9.48,Twitch,,,
"6'38""","6'40""",1.44,Sleep,,,
"6'40""","6'42""",1.72,Twitch,,,
"6'42""","6'43""",1.32,Sleep,,,
"6'43""","6'43""",0.24,Twitch,,,
"6'43""","6'44""",1.32,Sleep,,,
"6'44""","6'52""",8.00,Twitch,,,
"6'52""","6'57""",5.08,Sleep,,,
"6'57""","6'59""",1.84,Twitch,,,
"6'59""","7'03""",3.20,Sleep,,,
"7'03""","7'05""",2.08,Twitch,,,
"7'05""","7'09""",4.68,Sleep,,,
"7'09""","7'13""",3.40,Twitch,,,
"7'13""","7'19""",6.16,Sleep,,,
"7'19""","7'23""",4.28,Twitch,,,
"7'23""","7'25""",1.40,Sleep,,,
"7'25""","7'29""",4.92,Twitch,,,
"7'29""","7'35""",5.24,Sleep,,,
"7'35""","7'40""",5.40,Twitch,,,
"7'40""","7'45""",4.68,Sleep,,,
"7'45""","7'46""",1.72,Twitch,,,
"7'46""","7'48""",1.24,Sleep,,,
"7'48""","7'48""",0.64,Twitch,,,
"7'48""","7'54""",6.08,Sleep,,,
"7'54""","7'57""",2.48,Twitch,,,
"7'57""","8'02""",5.12,Sleep,,,
"8'02""","8'08""",5.88,Twitch,,,
"8'08""","8'12""",4.08,Sleep,,,
"8'12""","8'16""",4.44,Twitch,,,
"8'16""","8'19""",2.44,Sleep,,,
"8'19""","8'19""",0.24,Twitch,,,
"8'19""","8'21""",1.92,Sleep,,,
"8'21""","8'23""",2.36,Twitch,,,
"8'23""","8'29""",5.68,Sleep,,,
"8'29""","8'32""",2.68,Twitch,,,
"8'32""","8'33""",1.52,Sleep,,,
"8'33""","8'34""",1.04,Twitch,,,
"8'34""","8'36""",1.52,Sleep,,,
"8'36""","8'37""",1.40,Twitch,,,
"8'37""","8'40""",2.76,Sleep,,,
"8'40""","8'40""",0.24,Twitch,,,
"8'40""","8'42""",1.52,Sleep,,,
"8'42""","8'43""",1.04,Twitch,,,
"8'43""","8'44""",1.44,Sleep,,,
"8'44""","8'45""",0.48,Twitch,,,
"8'45""","8'59""",14.56,Sleep,,,
"8'59""","9'01""",2.16,Awaken,,,
"9'01""","9'02""",0.24,Rear up Partially,,,
"9'02""","9'02""",0.48,Remain Partially Reared,,,
"9'02""","9'02""",0.24,Come Down From Partially Reared,,,
"9'02""","9'03""",0.36,Rear up Partially,,,
"9'03""","9'04""",1.32,Sniff,,,
"9'04""","9'04""",0.24,Rear up Full From Partial,,,
"9'04""","9'05""",0.72,Sniff,,,
"9'05""","9'05""",0.24,Come Down To Partially Reared,,,
"9'05""","9'06""",0.96,Drink Spout1,,,
"9'06""","9'06""",0.24,Sniff,,face-left,
"9'06""","9'07""",0.64,"ComeDown(CDtoPR, CDfromPR)",,,
"9'07""","9'08""",0.44,Walk Slowly,,,
"9'08""","9'08""",0.84,Walk Left,,,
"9'08""","9'09""",0.60,Walk Slowly,,,
"9'09""","9'10""",0.20,Forage,,,
"9'11""","9'11""",0.48,Walk Slowly,,,
"9'11""","9'12""",0.24,Rear up Partially,,,
"9'12""","9'12""",0.24,Remain Partially Reared,,,
"9'12""","9'12""",0.24,Rear up Full From Partial,,,
"9'12""","9'13""",0.96,Sniff,,,
"9'13""","9'13""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"9'16""","9'16""",0.48,Walk Right,,,
"9'18""","9'18""",0.24,Rear up Partially,,,
"9'18""","9'19""",0.24,Sniff,,,
"9'19""","9'20""",0.96,Eat Zone1,,,
"9'20""","9'20""",0.24,Come Down,,,
"9'20""","9'20""",0.24,Walk Right,,,
"9'23""","9'23""",0.16,Dig,,,
"9'23""","9'23""",0.28,Dig,,,
"9'23""","9'25""",1.28,Forage,,,
"9'25""","9'26""",0.88,Walk Slowly,,,
"9'27""","9'28""",0.24,Walk Slowly,,,
"9'28""","9'28""",0.24,Walk Slowly,,,
"9'28""","9'29""",0.36,Rear up Partially,,,
"9'29""","9'29""",0.36,Remain Partially Reared,,,
"9'29""","9'29""",0.40,Come Down From Partially Reared,,,
"9'29""","9'30""",0.44,Remain Partially Reared,,,
"9'30""","9'30""",0.24,Rear up Full From Partial,,,
"9'30""","9'31""",0.60,Jump,,,
"9'31""","9'31""",0.28,Come Down From Partially Reared,,,
"9'31""","9'31""",0.60,Walk Left,,,
"9'32""","9'32""",0.24,Walk Slowly,,,
"9'32""","9'32""",0.24,Walk Left,,,
"9'32""","9'32""",0.24,Rear up Partially,,,
"9'32""","9'33""",0.24,Remain Partially Reared,,,
"9'33""","9'33""",0.24,Rear up Full From Partial,,,
"9'33""","9'33""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"9'33""","9'34""",0.24,Walk Slowly,,,
"9'34""","9'34""",0.24,Rear up Partially,,,
"9'34""","9'34""",0.24,Remain Partially Reared,,,
"9'34""","9'34""",0.24,Rear up Full From Partial,,,
"9'34""","9'36""",1.44,Sniff,,,
"9'36""","9'36""",0.24,Stretch Body,,,
"9'36""","9'37""",0.48,Sniff,,,
"9'37""","9'37""",0.24,Stretch Body,,,
"9'37""","9'37""",0.24,Sniff,,,
"9'37""","9'37""",0.24,Remain RearUp,,,
"9'37""","9'38""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"9'38""","9'38""",0.48,Walk Right,,,
"9'39""","9'40""",0.96,Eat Zone1,,,
"9'40""","9'40""",0.24,Sniff,,,
"9'40""","9'41""",0.96,Remain Partially Reared,,,
"9'41""","9'41""",0.24,Walk Slowly,,,
"9'41""","9'41""",0.24,Come Down From Partially Reared,,,
"9'41""","9'42""",0.24,Walk Slowly,,,
"9'42""","9'42""",0.24,Walk Right,,,
